"municipality","municipalityId","CSP_23","EDU_23","EVP_23","FDP_23","FGA_23","GLP_23","GRUENE_23","Lega_23","LPS_23","MCR_23","Mitte_23","PdA_Sol_23","SD_23","SP_23","SVP_23","Uebrige_23","CSP_19","EDU_19","EVP_19","FDP_19","FGA_19","GLP_19","GRUENE_19","Lega_19","LPS_19","MCR_19","Mitte_19","PdA_Sol_19","SD_19","SP_19","SVP_19","Uebrige_19","population","swisspop_num","nswisspop_num","nswisspop_perc","naturalization_num","Kanton","districtId","districtName"
"Aeugst am Albis","0001",0,2,4,13,0,15,8,0,0,0,6,0,0,14,34,4,0,3,3,16,0,14,15,0,0,0,4,0,0,12,30,1,2004,1658,346,17.27,"7","ZH",101,"Affoltern"
"Affoltern am Albis","0002",0,1,6,11,0,12,8,0,0,0,8,0,0,16,32,4,0,1,7,13,0,13,13,0,0,0,7,0,0,15,30,1,12957,8904,4053,31.28,"62","ZH",101,"Affoltern"
"Bonstetten","0003",0,1,4,14,0,16,8,0,0,0,7,0,0,18,28,4,0,1,4,15,1,16,12,0,0,0,5,0,0,17,26,2,5696,4600,1096,19.24,"21","ZH",101,"Affoltern"
"Hausen am Albis","0004",0,1,3,10,0,12,10,0,0,0,7,0,0,18,34,4,0,1,4,11,0,12,17,0,0,0,6,0,0,14,33,1,3984,3276,708,17.77,"14","ZH",101,"Affoltern"
"Hedingen","0005",0,2,3,15,0,16,7,0,0,0,7,0,0,16,31,4,0,2,4,14,1,16,12,0,0,0,6,0,0,17,27,1,3968,3167,801,20.19,"23","ZH",101,"Affoltern"
"Kappel am Albis","0006",0,1,4,8,0,12,6,0,0,0,8,0,0,9,48,3,0,1,5,11,1,11,10,0,0,0,7,0,0,9,44,2,1333,1111,222,16.65,"0","ZH",101,"Affoltern"
"Knonau","0007",0,2,4,9,0,14,7,0,0,0,11,0,0,15,32,5,0,2,7,9,0,17,11,0,0,0,8,0,0,11,32,1,2460,1989,471,19.15,"19","ZH",101,"Affoltern"
"Maschwanden","0008",0,2,4,3,0,13,8,0,0,0,8,0,0,18,36,8,0,3,3,3,0,12,10,0,0,0,5,0,0,17,45,1,645,548,97,15.04,"0","ZH",101,"Affoltern"
"Mettmenstetten","0009",0,2,3,10,0,14,8,0,0,0,7,0,0,16,35,4,0,4,5,12,0,15,12,0,0,0,5,0,0,15,31,1,5719,4755,964,16.86,"12","ZH",101,"Affoltern"
"Obfelden","0010",0,2,4,9,0,12,7,0,0,0,10,0,0,15,38,3,0,2,5,12,0,15,9,0,0,0,8,0,0,15,34,1,5885,4563,1322,22.46,"25","ZH",101,"Affoltern"
